('Bulgaria', 'USSR'),('Iraq', 'USSR'),0.33696969697
('Germany (FRG)', 'France'),('Chile', 'Spain'),-0.248636363636
('Turkey', 'UK'),('Portugal', 'France'),-0.159666666667
('Chile', 'France'),('South Korea', 'Germany (FRG)'),0.249677419355
('USA', 'Italy'),('East Germany (GDR)', 'USSR'),-0.100512820513
('Yugoslavia', 'France'),('India', 'Russia'),-0.365
('UK', 'France'),('India', 'Russia'),-0.1635
('Jordan', 'UK'),('Viet Nam', 'USSR'),0.214864864865
('Poland', 'USSR'),('Malaysia', 'France'),-0.22
('Yugoslavia', 'UK'),('USSR', 'Poland'),0.401666666667
('South Korea', 'France'),('Thailand', 'Germany (FRG)'),0.2448
('Nigeria', 'UK'),('Egypt', 'USSR'),0.241739130435
('UAE', 'UK'),('USA', 'Switzerland'),-0.1276
('Morocco', 'France'),('Syria', 'Czechoslovakia'),0.219523809524
('Libya', 'USSR'),('Egypt', 'France'),0.398695652174
('India', 'Russia'),('Mongolia', 'USSR'),-0.320882352941
('Japan', 'France'),('Indonesia', 'Germany (FRG)'),0.250588235294
('Iran', 'Russia'),('India', 'Netherlands'),0.26
('Finland', 'USSR'),('Finland', 'USSR'),0.425666666667
('Denmark', 'Sweden'),('Pakistan', 'Sweden'),0.258421052632
('Sweden', 'France'),('Sweden', 'France'),0.401
('Yugoslavia', 'France'),('East Germany (GDR)', 'USSR'),0.197948717949
('Iran', 'Russia'),('Finland', 'UK'),-0.140434782609
('Egypt', 'USSR'),('Netherlands', 'Italy'),-0.2225
('Turkey', 'France'),('Turkey', 'France'),0.363666666667
('Egypt', 'USSR'),('USA', 'Germany (FRG)'),-0.366956521739
('Romania', 'Czechoslovakia'),('Romania', 'Czechoslovakia'),0.541666666667
('Indonesia', 'Germany (FRG)'),('South Africa', 'Italy'),-0.1404
('USSR', 'Czechoslovakia'),('Sweden', 'Germany (FRG)'),-0.239310344828
('France', 'UK'),('USA', 'Switzerland'),-0.1056
('North Korea', 'USSR'),('Bulgaria', 'USSR'),0.314047619048
('Kuwait', 'France'),('South Yemen', 'USSR'),0.254090909091
('Iraq', 'France'),('Argentina', 'France'),0.242666666667
('India', 'Netherlands'),('Malaysia', 'Germany (FRG)'),0.257142857143
('Afghanistan', 'USSR'),('South Korea', 'Netherlands'),-0.172608695652
('Iraq', 'USSR'),('Greece', 'France'),-0.128
('Syria', 'USSR'),('Viet Nam', 'USSR'),0.401621621622
('UK', 'Germany (FRG)'),('Malaysia', 'Germany (FRG)'),0.31
('Iraq', 'France'),('Iraq', 'France'),0.5184
('Finland', 'USSR'),('Poland', 'USSR'),0.24119047619
('Saudi Arabia', 'Germany (FRG)'),('Switzerland', 'UK'),-0.187567567568
('Chile', 'France'),('UAE', 'Germany (FRG)'),0.260740740741
('Argentina', 'Italy'),('India', 'Russia'),-0.131
('Morocco', 'France'),('Ghana', 'UK'),0.319
('India', 'Russia'),('South Yemen', 'USSR'),-0.318181818182
('Tunisia', 'France'),('Japan', 'France'),-0.121481481481
('Afghanistan', 'USSR'),('Chile', 'Spain'),-0.100454545455
('Nigeria', 'Italy'),('Singapore', 'UK'),-0.167619047619
('India', 'Germany (FRG)'),('Turkey', 'France'),0.202333333333
('Poland', 'USSR'),('Italy', 'France'),-0.159459459459
('Denmark', 'Sweden'),('South Korea', 'Italy'),0.239047619048
('Viet Nam', 'USSR'),('Gabon', 'France'),0.365
('USA', 'Germany (FRG)'),('Mongolia', 'USSR'),-0.104411764706
('South Korea', 'Germany (FRG)'),('South Korea', 'Netherlands'),0.48
('Italy', 'France'),('Chile', 'Switzerland'),0.26625
('UAE', 'France'),('Hungary', 'USSR'),-0.169761904762
('China', 'USSR'),('UK', 'Germany (FRG)'),-0.255384615385
('UK', 'France'),('Egypt', 'USSR'),0.233043478261
('Germany (FRG)', 'UK'),('UAE', 'Germany (FRG)'),-0.134814814815
('USA', 'UK'),('Germany (FRG)', 'France'),-0.105555555556
('Spain', 'Germany (FRG)'),('North Korea', 'USSR'),-0.184761904762
('Ecuador', 'France'),('Brazil', 'Italy'),0.196470588235
('USSR', 'Czechoslovakia'),('UAE', 'Germany (FRG)'),-0.321851851852
('China', 'France'),('India', 'USSR'),-0.165151515152
('USSR', 'Czechoslovakia'),('Germany (FRG)', 'France'),0.219444444444
('Romania', 'Czechoslovakia'),('Viet Nam', 'USSR'),0.268378378378
('Greece', 'France'),('India', 'Poland'),0.250909090909
('North Korea', 'USSR'),('Sweden', 'Germany (FRG)'),-0.285517241379
('South Korea', 'Italy'),('Chile', 'Switzerland'),0.29
('Israel', 'UK'),('UAE', 'UK'),-0.179375
('Turkey', 'Italy'),('Thailand', 'UK'),0.198846153846
('Italy', 'Germany (FRG)'),('Pakistan', 'UK'),-0.220909090909
('Yugoslavia', 'UK'),('Greece', 'France'),-0.148571428571
('Romania', 'Czechoslovakia'),('Japan', 'Germany (FRG)'),-0.125161290323
('South Korea', 'Netherlands'),('USA', 'Germany (FRG)'),0.330434782609
('North Korea', 'USSR'),('Indonesia', 'France'),-0.135625
('USA', 'Germany (FRG)'),('Brazil', 'Switzerland'),0.3935
('Libya', 'USSR'),('Libya', 'USSR'),0.617619047619
('Romania', 'Czechoslovakia'),('Venezuela', 'France'),-0.1392
('Finland', 'USSR'),('Ecuador', 'France'),0.233333333333
('UAE', 'France'),('Iran', 'Russia'),0.385
('Portugal', 'Germany (FRG)'),('Iraq', 'USSR'),0.224545454545
('India', 'Russia'),('Cuba', 'USSR'),-0.2946875
('China', 'Russia'),('India', 'USSR'),-0.291515151515
('Afghanistan', 'USSR'),('Iraq', 'France'),0.3232
('Viet Nam', 'USSR'),('Romania', 'Czechoslovakia'),0.42375
('India', 'Germany (FRG)'),('Syria', 'USSR'),-0.1625
('Argentina', 'Italy'),('Gabon', 'France'),0.3335
('Bulgaria', 'USSR'),('Argentina', 'France'),0.233
('USA', 'Italy'),('Chile', 'Switzerland'),0.369166666667
('Germany (FRG)', 'France'),('Canada', 'Switzerland'),-0.105454545455
('Netherlands', 'Germany (FRG)'),('UAE', 'Germany (FRG)'),0.221851851852
('Finland', 'UK'),('UAE', 'Germany (FRG)'),-0.108518518519
('North Korea', 'USSR'),('South Korea', 'France'),-0.236
('Japan', 'Germany (FRG)'),('Brazil', 'Switzerland'),0.2535
('Malaysia', 'UK'),('Venezuela', 'France'),-0.1164
('Israel', 'UK'),('South Korea', 'Netherlands'),-0.413913043478
('Hungary', 'USSR'),('Netherlands', 'Germany (FRG)'),-0.118484848485
('Norway', 'Sweden'),('Chile', 'Switzerland'),0.358333333333
('Indonesia', 'Germany (FRG)'),('Sweden', 'UK'),-0.123333333333
('Sweden', 'UK'),('Finland', 'Sweden'),-0.145526315789
('South Korea', 'Germany (FRG)'),('Japan', 'France'),0.405185185185
('New Zealand', 'UK'),('Qatar', 'France'),-0.1176
('South Africa', 'UK'),('UAE', 'France'),-0.154722222222
('Syria', 'Czechoslovakia'),('India', 'Germany (FRG)'),-0.14
('Turkey', 'UK'),('USSR', 'Czechoslovakia'),-0.154615384615
('Yugoslavia', 'USSR'),('Peru', 'Italy'),0.2385
('USSR', 'Czechoslovakia'),('Italy', 'France'),-0.111081081081
('Israel', 'UK'),('Brazil', 'Italy'),-0.243529411765
('Israel', 'France'),('UK', 'Germany (FRG)'),-0.274615384615
('Singapore', 'UK'),('Nigeria', 'Italy'),-0.108636363636
('Romania', 'USSR'),('Denmark', 'Sweden'),-0.198
('Israel', 'France'),('Brazil', 'France'),-0.150952380952
('Greece', 'Netherlands'),('Romania', 'USSR'),-0.233333333333
('Norway', 'Germany (FRG)'),('Peru', 'UK'),-0.103
('Finland', 'France'),('South Africa', 'UK'),-0.159473684211
('USSR', 'Czechoslovakia'),('Chile', 'France'),-0.132972972973
('Pakistan', 'UK'),('Saudi Arabia', 'Germany (FRG)'),-0.210909090909
('Netherlands', 'Germany (FRG)'),('Greece', 'Italy'),0.242692307692
('Ghana', 'UK'),('UK', 'Netherlands'),-0.2165
('Peru', 'UK'),('Turkey', 'France'),-0.115333333333
('UK', 'Italy'),('Argentina', 'Italy'),-0.13962962963
('Sweden', 'UK'),('Thailand', 'Germany (FRG)'),-0.2208
